,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,1.0
2020-09-23 14:01:00,0.0,-1.5,0.5,-1.5,0.0,-1.5,0.5,-0.5,-0.5,-0.5,-1.0,0.5
2020-09-23 14:02:00,0.3333333333333333,-1.3333333333333333,1.0,-1.6666666666666667,0.0,-1.6666666666666667,1.0,0.0,0.0,-1.0,-1.0,0.0
2020-09-23 14:03:00,0.5,-1.0,1.0,-1.5,0.0,-1.5,1.25,0.25,0.25,-1.0,-1.0,0.0
2020-09-23 14:04:00,0.8,-0.8,0.8,-1.6,-0.2,-1.2,1.4,0.6,0.2,-1.2,-1.2,0.2
2020-09-23 14:05:00,0.8333333333333334,-0.6666666666666666,0.5,-1.6666666666666667,-0.16666666666666666,-1.0,1.5,0.8333333333333334,0.0,-1.1666666666666667,-1.5,0.5
2020-09-23 14:06:00,1.0,-0.5714285714285714,0.14285714285714285,-1.7142857142857142,0.0,-1.0,1.5714285714285714,0.8571428571428571,-0.14285714285714285,-1.1428571428571428,-1.5714285714285714,0.5714285714285714
2020-09-23 14:07:00,1.0,-0.625,-0.125,-1.75,0.25,-1.125,1.75,1.0,-0.125,-1.0,-1.75,0.5
2020-09-23 14:08:00,1.1111111111111112,-0.6666666666666666,-0.2222222222222222,-1.6666666666666667,0.5555555555555556,-1.2222222222222223,1.7777777777777777,1.1111111111111112,-0.1111111111111111,-0.8888888888888888,-1.7777777777777777,0.4444444444444444
2020-09-23 14:09:00,1.2,-0.6,-0.3,-1.5,0.8,-1.4,1.9,1.3,-0.2,-0.8,-1.9,0.4
2020-09-23 14:10:00,1.2727272727272727,-0.6363636363636364,-0.36363636363636365,-1.3636363636363635,1.0,-1.5454545454545454,1.9090909090909092,1.3636363636363635,-0.36363636363636365,-0.7272727272727273,-1.9090909090909092,0.45454545454545453
