venta_id,fecha_pedido,fecha_entrega,mes_texto,dia_semana,categoria,producto,precio_unitario,cantidad,total,metodo_pago,cliente_tipo,promo_codigo,entregado
1,02/04/2025 07:03,02/04/2025 07:26,abril,miércoles,Bebida caliente,Té verde,1100.0,1,1045.0,Efectivo,Docente,DESC10,sí
2,04/04/2025 19:54,04/04/2025 20:17,abril,viernes,Bebida caliente,Té verde,1100.0,1,1100.0,QR,Visitante,,sí
3,25/08/2025 20:23,25/08/2025 20:46,agosto,lunes,Bebida caliente,Latte,1700.0,1,1700.0,Efectivo,Estudiante,,sí
4,07/04/2025 02:49,07/04/2025 03:07,abril,lunes,Snack,Chipá,1200.0,1,1200.0,Efectivo,No docente,,sí
5,29/08/2024 09:33,29/08/2024 09:54,agosto,jueves,Snack,Chipá,1200.0,3,3600.0,Tarjeta,Docente,DESC10,sí
6,27/06/2025 21:19,27/06/2025 21:36,junio,viernes,Bebida caliente,Té verde,1100.0,2,2200.0,Efectivo,Estudiante,2x1CAFE,sí
7,31/12/2024 22:07,31/12/2024 22:26,diciembre,martes,Sandwich,Sandwich veggie,2700.0,2,4860.0,Efectivo,Estudiante,PROMOALMUERZO,sí
8,04/08/2024 10:30,04/08/2024 10:50,agosto,domingo,Pastelería,Medialuna,800.0,1,800.0,QR,Docente,,sí
9,23/02/2025 14:06,23/02/2025 14:24,febrero,domingo,Sandwich,Sandwich de jamón y queso,2500.0,2,5000.0,Tarjeta,Docente,,no
10,04/10/2025 02:25,04/10/2025 02:53,octubre,sábado,Sandwich,Sandwich veggie,2700.0,1,2700.0,Tarjeta,Docente,2x1CAFE,sí
11,22/04/2025 20:22,22/04/2025 20:37,abril,martes,Bebida fría,Agua mineral,900.0,1,900.0,QR,Estudiante,,no
12,18/10/2025 23:34,18/10/2025 23:37,octubre,sábado,Sandwich,Sandwich de jamón y queso,2500.0,1,2500.0,Efectivo,Visitante,2x1CAFE,sí
13,08/10/2025 06:02,08/10/2025 06:11,octubre,miércoles,Pastelería,Tarta de manzana,2200.0,1,2200.0,Efectivo,Estudiante,2x1CAFE,sí
14,27/10/2025 11:53,27/10/2025 12:22,octubre,lunes,Sandwich,Sandwich veggie,2700.0,1,2700.0,Efectivo,No docente,DESC10,sí
15,14/04/2025 23:40,14/04/2025 23:43,abril,lunes,Snack,Barra de cereal,850.0,3,2295.0,QR,Docente,2x1CAFE,sí
16,10/08/2024 04:46,10/08/2024 04:55,agosto,sábado,Sandwich,Sandwich de jamón y queso,2500.0,1,2500.0,QR,Visitante,,sí
17,22/02/2025 17:46,22/02/2025 18:03,febrero,sábado,Pastelería,Cookie de chocolate,1000.0,1,1000.0,Efectivo,Visitante,,sí
18,25/08/2025 03:46,25/08/2025 03:58,agosto,lunes,Bebida caliente,Té verde,1100.0,3,3300.0,Efectivo,Visitante,,sí
19,05/11/2024 10:21,05/11/2024 10:34,noviembre,martes,Snack,Barra de cereal,850.0,1,850.0,Tarjeta,No docente,,sí
20,27/08/2024 03:50,27/08/2024 04:12,agosto,martes,Bebida caliente,Té verde,1100.0,3,3300.0,QR,No docente,,sí
21,20/12/2024 10:33,20/12/2024 10:44,diciembre,viernes,Snack,Chipá,1200.0,3,3600.0,Efectivo,Estudiante,2x1CAFE,sí
22,05/01/2025 15:44,05/01/2025 16:10,enero,domingo,Bebida caliente,Té verde,1100.0,1,1100.0,QR,Docente,DESC10,sí
23,28/10/2024 21:21,28/10/2024 21:30,octubre,lunes,Bebida fría,Limonada,1500.0,1,1425.0,QR,No docente,PROMOALMUERZO,sí
24,12/12/2024 11:11,12/12/2024 11:41,diciembre,jueves,Bebida caliente,Té verde,1100.0,3,3300.0,Tarjeta,Docente,,sí
25,10/04/2025 17:00,10/04/2025 17:28,abril,jueves,Bebida caliente,Latte,1700.0,2,3230.0,Efectivo,Estudiante,,sí
26,29/09/2025 07:20,29/09/2025 07:44,septiembre,lunes,Bebida fría,Jugo de naranja,1600.0,1,1600.0,QR,Docente,2x1CAFE,sí
27,18/09/2025 12:34,18/09/2025 12:39,septiembre,jueves,Bebida fría,Agua mineral,900.0,2,1800.0,QR,No docente,PROMOALMUERZO,sí
28,15/03/2025 08:43,15/03/2025 08:52,marzo,sábado,Snack,Empanada de carne,1400.0,2,2800.0,QR,Estudiante,DESC10,sí
29,06/02/2025 22:36,06/02/2025 23:06,febrero,jueves,Bebida caliente,Latte,1700.0,1,13600.0,Tarjeta,Docente,,sí
30,01/01/2025 09:29,01/01/2025 09:57,enero,miércoles,Bebida caliente,Café americano,1200.0,1,1200.0,Efectivo,Docente,,sí
31,24/06/2025 22:04,24/06/2025 22:11,junio,martes,Pastelería,Tarta de manzana,2200.0,3,6270.0,Efectivo,No docente,PROMOALMUERZO,sí
32,10/10/2024 05:11,10/10/2024 05:33,octubre,jueves,Bebida fría,Jugo de naranja,1600.0,1,1600.0,QR,Docente,PROMOALMUERZO,sí
33,06/12/2024 15:08,06/12/2024 15:13,diciembre,viernes,Bebida fría,Agua mineral,900.0,1,855.0,Efectivo,Visitante,2x1CAFE,no
34,02/05/2025 15:47,02/05/2025 15:53,mayo,viernes,Snack,Chipá,1200.0,1,9600.0,Tarjeta,Estudiante,,sí
35,19/07/2025 22:12,19/07/2025 22:22,julio,sábado,Pastelería,Tarta de manzana,2200.0,1,2200.0,Efectivo,Docente,DESC10,sí
36,24/08/2024 05:58,24/08/2024 06:14,agosto,sábado,Bebida fría,Jugo de naranja,1600.0,3,4560.0,Tarjeta,No docente,PROMOALMUERZO,sí
37,11/06/2025 21:05,11/06/2025 21:08,junio,miércoles,Bebida caliente,Latte,1700.0,2,3400.0,Tarjeta,Estudiante,,sí
38,26/12/2024 08:43,26/12/2024 08:59,diciembre,jueves,Bebida caliente,Latte,1700.0,3,4845.0,Efectivo,Visitante,PROMOALMUERZO,sí
39,09/12/2024 19:06,09/12/2024 19:25,diciembre,lunes,Bebida fría,Agua mineral,900.0,3,2565.0,Tarjeta,Docente,PROMOALMUERZO,no
40,20/12/2024 23:00,20/12/2024 23:05,diciembre,viernes,Snack,Barra de cereal,850.0,1,850.0,Tarjeta,No docente,PROMOALMUERZO,sí
41,10/09/2025 00:34,10/09/2025 00:44,septiembre,miércoles,Bebida fría,Jugo de naranja,1600.0,1,1440.0,Efectivo,Docente,,sí
42,15/05/2025 21:57,15/05/2025 22:15,mayo,jueves,Pastelería,Tarta de manzana,2200.0,3,5940.0,Efectivo,Visitante,,sí
43,18/08/2025 22:15,18/08/2025 22:41,agosto,lunes,Bebida caliente,Café con leche,1500.0,3,4500.0,QR,Docente,,sí
44,03/06/2025 10:45,03/06/2025 11:03,junio,martes,Sandwich,Sandwich de jamón y queso,2500.0,2,4750.0,Tarjeta,Docente,,sí
45,12/08/2024 19:42,12/08/2024 20:07,agosto,lunes,Bebida caliente,Latte,1700.0,1,1700.0,Tarjeta,No docente,DESC10,sí
46,13/08/2024 18:53,13/08/2024 19:15,agosto,martes,Sandwich,Sandwich de jamón y queso,2500.0,1,2375.0,Tarjeta,Docente,2x1CAFE,sí
47,06/03/2025 10:53,06/03/2025 11:23,marzo,jueves,Pastelería,Tarta de manzana,2200.0,2,4400.0,Efectivo,Visitante,,sí
48,01/08/2025 05:33,01/08/2025 05:51,agosto,viernes,Bebida caliente,Latte,1700.0,3,4590.0,QR,No docente,DESC10,sí
49,12/09/2025 17:05,12/09/2025 17:26,septiembre,viernes,Bebida caliente,Latte,1700.0,2,3060.0,Efectivo,No docente,DESC10,sí
50,10/10/2024 20:18,10/10/2024 20:46,octubre,jueves,Pastelería,Medialuna,800.0,1,720.0,QR,No docente,,sí
51,13/02/2025 12:23,13/02/2025 12:38,febrero,jueves,Sandwich,Sandwich veggie,2700.0,3,8100.0,Efectivo,Docente,2x1CAFE,no
52,12/09/2024 02:30,12/09/2024 02:44,septiembre,jueves,Bebida fría,Agua mineral,900.0,1,855.0,QR,Docente,2x1CAFE,sí
